all|all
extra|extra calcaneal ossification center
tarsal|tarsal stippling
punctate|punctate calcifications of tarsals
punctate|punctate tarsal calcification
medial|medial rotation of the medial malleolus
distal|distal tapering of metatarsals
irregular|irregular tarsal ossification
irregular|irregular tarsal centers
equinus|equinus calcaneus
equinus|equinus deformity of the calcaneus
hindfoot|hindfoot equinus
dislocation|dislocation of toes
delayed|delayed calcaneal ossification
flattening|flattening of the talar dome
impaired|impaired epinephrine-induced platelet aggregation
elevated|elevated serum transaminases during infections
prolonged|prolonged prothrombin time
periodic|periodic hypokalemic paresis
mucopolysacchariduria|mucopolysacchariduria
hyperapobetalipoproteinemia|hyperapobetalipoproteinemia
3-hydroxydicarboxylic|3-hydroxydicarboxylic aciduria
absent|absent leukocyte alkaline phosphatase
hyperammonemia,|hyperammonemia, asymptomatic
decreased|decreased circulating cortisol level
low|low to undetectable plasma cortisol
plasma|plasma cortisol low
reduced|reduced circulating t-helper cells
decreased|decreased beta-galactosidase activity
beta-galactosidase|beta-galactosidase deficiency in fibroblasts and white blood cells
beta-galactosidase-1|beta-galactosidase-1 deficiency
decreased|decreased beta-galactosidase activity (leukocyte, fibroblast, plasma)
very|very long chain fatty acid accumulation
reduced|reduced factor vii activity
neonatal|neonatal unconjugated hyperbilirubinemia
abnormal|abnormal cartilage matrix
decreased|decreased electrooculogram (eog)
mildly|mildly elevated creatine phosphokinase
mildly|mildly increased creatine kinase
mildly|mildly increased serum creatine kinase
moderately|moderately increased serum creatine kinase
abetalipoproteinemia|abetalipoproteinemia
adrenocortical|adrenocortical hypoplasia
precocious|precocious puberty in males
male|male precocious puberty
adrenocortical|adrenocortical cytomegaly
absence|absence of secondary sex characteristics
no|no secondary sexual characteristics at puberty
thyroid|thyroid dysgenesis
thyroid|thyroid dysplasia
insulin|insulin insensitivity
thyroid|thyroid agenesis
primary|primary gonadal insufficiency
multiple|multiple pancreatic beta-cell adenomas
absence|absence of pubertal development
congenital|congenital hypoparathyroidism
neonatal|neonatal hypoparathyroidism
primary|primary hyperparathyroidism
prolactin|prolactin deficiency
precocious|precocious puberty with sertoli cell tumor
insulin-dependent|insulin-dependent but ketosis-resistant diabetes
primary|primary adrenal insufficiency
addison|addison disease
addison's|addison's disease
adrenocortical|adrenocortical insufficiency
primary|primary adrenocortical failure
parathyroid|parathyroid hyperplasia
premature|premature ovarian failure
parathyroid|parathyroid agenesis
parathyroid|parathyroid absence
parathyroid|parathyroid aplasia
gonadotropin|gonadotropin deficiency
pituitary|pituitary gonadotropin deficiency
decreased|decreased serum estradiol
adrenal|adrenal gland dysgenesis
adrenal|adrenal gland dysplasia
dysplastic|dysplastic adrenal glands
hypocortisolemia|hypocortisolemia
decreased|decreased cortisol production
glucocorticoid|glucocorticoid insufficiency
adrenal|adrenal hyperplasia
enlarged|enlarged adrenal glands
female|female infertility
compensated|compensated hypothyroidism
thyroid|thyroid follicular hyperplasia
androgen|androgen insufficiency
hypoandrogenism|hypoandrogenism
pituitary|pituitary resistance to thyroid hormone
thyroid|thyroid lymphangiectasia
thyroid|thyroid lymphangiectasis
decreased|decreased testosterone in males
macronodular|macronodular adrenal hyperplasia
elevated|elevated follicle stimulating hormone
elevated|elevated follicle-stimulating hormone
elevated|elevated plasma follicle stimulating hormone
decreased|decreased serum progesterone
isosexual|isosexual precocious puberty
hypothalamic|hypothalamic hypothyroidism
tertiary|tertiary hypothyroidism
adrenal|adrenal medullary hypoplasia
secondary|secondary growth hormone deficiency
pseudohypoaldosteronism|pseudohypoaldosteronism
congenital|congenital adrenal hypoplasia
congenital|congenital adrenal gland hypoplasia
pituitary|pituitary hypothyroidism
secondary|secondary hypothyroidism
thyroid|thyroid stimulating hormone deficiency
thyrotropin|thyrotropin deficiency
tsh|tsh deficient hypothyroidism
euthyroid|euthyroid hyperthyroxinemia
asymptomatic|asymptomatic hyperthyroxinemia
thyroid|thyroid hyperplasia
infantile|infantile hypercalcemia
congenital|congenital goiter
transient|transient neonatal diabetes mellitus
adrenocortical|adrenocortical adenoma
adrenocortical|adrenocortical adenomas
congenital|congenital adrenal hyperplasia
adrenocorticotropin|adrenocorticotropin (acth) receptor (acthr) defect
adrenocorticotropic|adrenocorticotropic hormone-resistant adrenal insufficiency
pancreatic|pancreatic islet cell adenoma
thyroid|thyroid defect in oxidation and organification of iodide
neutrophil|neutrophil inclusion bodies
dohle-like|dohle-like leukocyte inclusion bodies
mitochondrial|mitochondrial lysine transport defect
increased|increased red cell hemolysis by shear stress
abnormal|abnormal cartilage collagen on em
renal|renal tubular lysine transport defect
transient|transient aminoaciduria
abnormal|abnormal cone-mediated electroretinogram
abnormality|abnormality of zinc homeostasis
cerebellar|cerebellar cortical atrophy
transient|transient hyperlipidemia
hyperammonemia,|hyperammonemia, acute
unconjugated|unconjugated hyperbilirubinemia
fasting|fasting hyperinsulinemia
transient|transient hypophosphatemia
nonketotic|nonketotic hyperglycinemia
partial|partial complement factor h deficiency
pituitary|pituitary corticotropic cell adenoma
acth-producing|acth-producing pituitary adenoma
corticotropin-secreting|corticotropin-secreting pituitary adenoma
long-chain|long-chain dicarboxylic aciduria
transient|transient hyperphenylalaninemia
dermatan|dermatan sulfate excretion in urine
cerebellar|cerebellar atrophy with degeneration in the olivary nuclei
exercise-induced|exercise-induced myoglobinuria
abnormal|abnormal iron deposition in mitochondria
medium|medium chain dicarboxylic aciduria
spinal|spinal cord posterior columns myelin loss
decreased|decreased activity of mitochondrial complex ii
decreased|decreased plasma free carnitine
abnormal|abnormal mitochondria in muscle tissue
abnormal|abnormal mitochondria in muscle
elevated|elevated leukocyte alkaline phosphatase
impaired|impaired collagen-induced platelet aggregation
reduced|reduced factor x activity
abnormal|abnormal mitochondrial morphology
abnormal|abnormal mitochondrion morphology
abnormal|abnormal rod and cone electroretinograms
vitamin|vitamin b6 deficiency
microscopic|microscopic nephrocalcinosis
reduced|reduced von willebrand factor activity
elevated|elevated creatine kinase after exercise
renal|renal aminoaciduria
complex|complex organic aciduria
partial|partial functional complement factor d deficiency
diaminoaciduria|diaminoaciduria
distal|distal renal tubular acidosis
renal|renal tubular acidosis, type i
elevated|elevated plasma branched chain amino acids
hypoplasia|hypoplasia of the iris dilator muscle
increased|increased red cell sickling tendency
decreased|decreased activity of mitochondrial complex iv
immunoglobulin|immunoglobulin igg2 deficiency
reduced|reduced igg2 levels
impaired|impaired platelet adhesion
neutral|neutral hyperaminoaciduria
factor|factor x activation deficiency
combined|combined hyperlipidemia
reduced|reduced factor xiii activity
hyperprolinemia|hyperprolinemia
neonatal|neonatal hypoproteinemia
corticospinal|corticospinal tract pallor
aplasia/hypoplasia|aplasia/hypoplasia of the hallux
aplastic/hypoplastic|aplastic/hypoplastic halluces
aplasia/hypoplasia|aplasia/hypoplasia of the tarsal bones
aplastic/hypoplastic|aplastic/hypoplastic tarsals
abnormality|abnormality of the calcaneus
abnormality|abnormality of the talus
contractures|contractures involving the joints of the feet
tarsal|tarsal synostosis
synostosis|synostosis involving tarsal bones
tarsal|tarsal bone fusion
tarsal|tarsal bone synostosis
tarsal|tarsal fusion
tarsal|tarsal fusions
abnormal|abnormal tarsal ossification
abnormal|abnormal ossification of tarsal bones
abnormal|abnormal metatarsal ossification
abnormal|abnormal ossification involving metatarsal bones
abnormality|abnormality of vitamin a metabolism
puberty|puberty and gonadal disorders
weak,|weak, high-pitched voice
small,|small, high-pitched voice
vocal|vocal impairment, severe, due to laryngeal cartilage abnormalities
nasal,|nasal, dysarthic speech
high-pitched,|high-pitched, coarse voice
harsh,|harsh, quivering, high-pitched, weak voice
tubular|tubular nails, fifth fingers
slow-growing|slow-growing nails
aplastic/hypoplastic|aplastic/hypoplastic fingernail
absent|absent or hypoplastic fingernails
absent/hypoplastic|absent/hypoplastic finger nails
hypoplastic/aplastic|hypoplastic/aplastic fingernails
aplasia/hypoplasia|aplasia/hypoplasia of the nails
absent/hypoplastic|absent/hypoplastic nails
nail|nail aplasia/hypoplasia
abnormality|abnormality of the toenails
recurrent|recurrent loss of toenails and fingernails
recurrent|recurrent shedding of toenails and fingernails
dystrophic|dystrophic fingernails
subungual|subungual hyperkeratosis
congenital|congenital curved nail of fourth toe
congenital|congenital onychodystrophy
chronic|chronic monilial nail infection
hypoplastic|hypoplastic fifth fingernail
circumungual|circumungual hyperkeratosis
onycholysis|onycholysis of distal fingernails
onychogryposis|onychogryposis of toenails
ridged|ridged fingernail
longitudinally|longitudinally grooved fingernails
nail|nail dystrophy
dystrophic|dystrophic nails
onychodystrophy|onychodystrophy
hyperconvex|hyperconvex thumb nails
subungual|subungual hyperkeratotic fragments
lumbar|lumbar kyphosis in infancy
six|six lumbar vertebrae
vertebral|vertebral hypoplasia
underdeveloped|underdeveloped vertebrae
squared-off|squared-off platyspondyly
intervertebral|intervertebral disc degeneration
degeneration|degeneration of intervertebral disks
punctate|punctate vertebral calcifications
tall|tall lumbar vertebral bodies
vertebral|vertebral wedging
wedge-shaped|wedge-shaped vertebrae
spinal|spinal dysplasia
hypoplastic|hypoplastic 5th lumbar vertebrae
cuboid-shaped|cuboid-shaped thoracolumbar vertebral bodies
vertebral|vertebral clefting
vertebral|vertebral clefts
anterior|anterior beaking of lumbar vertebrae
anterior|anterior tongue-like protrusion of lumbar vertebral bodies
anterior|anterior wedging of l1
reversed|reversed usual vertebral column curves
hypoplastic|hypoplastic cervical vertebrae
cervical|cervical vertebrae hypoplasia
absent|absent in utero ossification of vertebral bodies
absent/hypoplastic|absent/hypoplastic coccyx
bifid|bifid thoracic vertebrae
vertebral|vertebral arch abnormalities
lumbar|lumbar hemivertebrae
c1-c2|c1-c2 vertebral abnormality
herniation|herniation of intervertebral nuclei
herniated|herniated intervertebral nuclei
vertebral|vertebral hyperostosis
spinal|spinal deformities
posterior|posterior wedging of vertebral bodies
cervical|cervical spinal canal stenosis
narrow|narrow cervical spinal canal
hypoplastic|hypoplastic coccygeal vertebrae
progressive|progressive cervical vertebral spine fusion
narrow|narrow vertebral interpedicular distance
interpedicular|interpedicular narrowing
narrow|narrow interpedicular space
narrow|narrow interpediculate distances
narrowing|narrowing of interpediculate distances
posterior|posterior vertebral hypoplasia
wafer-thin|wafer-thin platyspondyly
congenital|congenital kyphoscoliosis
lumbar|lumbar kyphosis
lumbar|lumbar gibbus deformity
dysplastic|dysplastic sacrum
c2-c3|c2-c3 subluxation
caudal|caudal narrowing of interpedicular distances
progressive|progressive congenital scoliosis
cervical|cervical vertebral agenesis
cervical|cervical vertebrae agenesis
hypoplastic|hypoplastic spinal processes
cervical|cervical vertebral facet hypoplasia
cervical|cervical instability
central|central vertebral hypoplasia
absent|absent spinous processes of lower thoracic and lumbar vertebrae
absent|absent vertebrae
thoracic|thoracic hemivertebrae
abnormal|abnormal sacral segmentation
cervical|cervical vertebral dysplasia
narrowness|narrowness of interpediculate distances in lower thoracic regions
prominent|prominent protruding coccyx
narrow|narrow anterio-posterior vertebral body diameter
reduced|reduced sagittal diameter of vertebrae
hypoplastic|hypoplastic sacral vertebrae
irregular|irregular sclerotic endplates
irregular,|irregular, dense end plate
hypoplastic,|hypoplastic, poorly ossified cervical vertebrae
scheuermann-like|scheuermann-like vertebral changes
hypoplastic|hypoplastic vertebral bodies
cervical|cervical spondylosis
asymmetry|asymmetry of spinal facet joints
cervical|cervical vertebral bodies with decreased anteroposterior diameter
narrow|narrow thoracolumbar interpediculate distance
decreasing|decreasing lumbar vertebrae interpediculate distance
anterior|anterior rounding of vertebral bodies
spondylolisthesis|spondylolisthesis at l5-s1
spondylolysis|spondylolysis and spondylolisthesis of l5
sacral|sacral segmentation defects
premature|premature anterior fontanel closure
inferior|inferior lens subluxation
multiple|multiple rows of eyelashes
congenital|congenital craniofacial dysostosis
no|no permanent dentition
high-grade|high-grade hypermetropia
median|median cleft lip and palate
medial|medial cleft lip and palate
midline|midline cleft lip/palate
wide|wide midline cleft lip/palate
moderate|moderate sensorineural hearing impairment
static|static ophthalmoparesis
aged|aged leonine appearance
central|central posterior corneal opacity
bilateral|bilateral conductive hearing impairment
bilateral|bilateral conductive deafness
bilateral|bilateral conductive hearing loss
aplasia/hypoplasia|aplasia/hypoplasia of the vertebrae
abnormality|abnormality of the vertebral spinous processes
aplasia/hypoplasia|aplasia/hypoplasia of the sacrum
aplasia/hypoplasia|aplasia/hypoplasia involving the vertebral column
abnormality|abnormality of the coccyx
posterior|posterior helix pit
ear,|ear, posterior helical groove
ear,|ear, posterior helical notch
helix,|helix, posterior pit
pits|pits in posterior aspect of ear helices
congenital|congenital sensorineural hearing impairment
bilateral|bilateral congenital sensorineural deafness
congenital|congenital neurosensory deafness
congenital|congenital perceptive deafness
congenital|congenital sensorineural deafness
congenital|congenital sensorineural hearing loss
hearing|hearing loss, congenital sensorineural
long|long hairs growing from helix of pinna
absence|absence of acoustic reflex
absence|absence of acoustic middle ear muscle reflexes
absent|absent middle ear reflexes
cleft|cleft at the superior portion of the pinna
superiorly|superiorly displaced ears
low-frequency|low-frequency hearing loss
abnormally|abnormally folded helix
microtia|microtia
bilateral|bilateral microtia
hypoplasia|hypoplasia of the external ear
hypoplastic|hypoplastic ears
hypoplastic|hypoplastic pinna
small|small ears
small|small pinnae
underdeveloped|underdeveloped ears
cochlear|cochlear malformation
absent|absent vestibular function
hypoplastic|hypoplastic superior helix
underdeveloped|underdeveloped superior helices
vestibular|vestibular areflexia
microtia,|microtia, second degree
external|external ear malformation
low-frequency|low-frequency sensorineural hearing loss
underfolded|underfolded helix
poorly|poorly folded helices
underfolded|underfolded superior helices
hypoplasia|hypoplasia of the cochlea
hypoplastic|hypoplastic cochlea
mild|mild neurosensory hearing impairment
mild|mild neurosensory hearing loss
slit-like|slit-like opening of the exterior auditory meatus
hypoplastic|hypoplastic helices
congenital|congenital conductive hearing impairment
congenital|congenital conductive deafness
congenital|congenital conductive hearing loss
prominent|prominent antitragus
enlarged|enlarged antitragus
hyperplastic|hyperplastic antitragus
hypertrophic|hypertrophic antitragus
postlingual|postlingual sensorineural hearing impairment
mild|mild conductive hearing impairment
conductive|conductive hearing loss, mild
unilateral|unilateral external ear deformity
supraauricular|supraauricular pit
supraauricular|supraauricular sinus
supraauricular|supraauricular sinuses
progressive|progressive conductive hearing impairment
progressive|progressive conductive deafness
hypertrophic|hypertrophic auricular cartilage
morphological|morphological abnormality of the middle ear
middle|middle ear malformation
infantile|infantile sensorineural hearing impairment
infantile|infantile sensorineural hearing loss
adult|adult onset sensorineural hearing impairment
late|late sensorineural hearing loss
sensorineural|sensorineural deafness, late-onset
bilateral|bilateral sensorineural hearing impairment
bilateral|bilateral nerve deafness
bilateral|bilateral sensorineural deafness
bilateral|bilateral sensorineural hearing loss
hearing|hearing loss, sensorineural, bilateral
severe|severe sensorineural hearing impairment
severe|severe sensorineural hearing loss
abnormality|abnormality of the stapes
stapedial|stapedial abnormalities
pulsatile|pulsatile tinnitus
ureteral|ureteral agenesis/dysgenesis
absent|absent gonadal tissue
chronic|chronic nephritis
hypertrophy|hypertrophy of the urinary bladder
hypertrophic|hypertrophic urinary bladder
lobular|lobular glomerulopathy
terminal|terminal nephrotic syndrome
gonadal|gonadal hypoplasia
congenital|congenital macroorchidism
oligomeganephronic|oligomeganephronic renal hypoplasia
nephroblastomatosis|nephroblastomatosis
pubertal|pubertal developmental failure in females
anteriorly|anteriorly displaced urethral meatus
uric|uric acid urolithiasis independent of gout
autonomic|autonomic erectile dysfunction
impotence|impotence due to autonomic dysfunction
necrotizing|necrotizing glomerulonephritis
tubulointerstitial|tubulointerstitial nephropathy
aplasia/hypoplasia|aplasia/hypoplasia of the fallopian tube
incomplete|incomplete male pseudohermaphroditism
multiple|multiple small medullary renal cysts
renotubular|renotubular dysgenesis
urethral|urethral stenosis
renal|renal sarcoma
urethral|urethral sphincter sclerosis
clitoral|clitoral hypertrophy
hypertrophic|hypertrophic clitoris
impaired|impaired histidine renal tubular absorption
gonadal|gonadal dysgenesis, male
46,xy|46,xy gonadal dysgenesis
abnormal|abnormal spermatogenesis
impaired|impaired spermatogenesis
partial|partial vaginal septum
rapid|rapid loss of renal function
calcium|calcium oxalate nephrolithiasis
infantile|infantile polycystic kidneys
enlarged|enlarged polycystic ovaries
congenital|congenital megaloureter
congenital|congenital primary megaureter
congenital|congenital nephrosis
renal|renal hypoplasia/aplasia
renal|renal agenesis/hypoplasia
renal|renal aplasia/hypoplasia
acute|acute tubular necrosis
renal|renal tubular necrosis
enlarged|enlarged labia minora
aplasia/hypoplasia|aplasia/hypoplasia of the uterus
hypoplasia|hypoplasia of the prostate
hypoplastic|hypoplastic prostate
genitourinary|genitourinary dysplasia
bilateral|bilateral cryptorchidism
cryptorchidism,|cryptorchidism, bilateral
solitary|solitary bladder diverticulum
hypertrophic|hypertrophic labia minora
labia|labia minora hypertrophy
transient|transient nephrotic syndrome
renal|renal hamartoma
hypoplasia|hypoplasia of the fallopian tube
absent|absent internal genitalia
gonadal|gonadal calcification
ureteral|ureteral triplication
distal|distal urethral duplication
absent|absent scrotum
partial|partial development of the penile shaft
small|small external genitalia
benign|benign prostatic hyperplasia
genitourinary|genitourinary tract malformation
ureterovesical|ureterovesical stenosis
testicular|testicular dysgenesis
urethrovaginal|urethrovaginal fistula
urethrovaginal|urethrovaginal fistulae
unilateral|unilateral renal atrophy
unilateral|unilateral renal dysplasia
primary|primary testicular failure
hypoplastic|hypoplastic male genitalia
urethral|urethral diverticulum
gonadal|gonadal dysgenesis with female appearance, male
hypoplasia|hypoplasia of the ovary
oxalate|oxalate nephrolithiasis
hypoplasia|hypoplasia of the vagina
rudimentary|rudimentary vagina
idiopathic|idiopathic nephrotic syndrome
absence|absence of labia majora
female|female external genitalia in males
males|males with female external genitalia
renal|renal hypophosphatemia
dysplastic|dysplastic testes
decreased|decreased testicular size
hypoplastic|hypoplastic testes
small|small testes
testicular|testicular hypoplasia
hypoplasia|hypoplasia of penis
underdeveloped|underdeveloped penis
nonsyndromal|nonsyndromal diffuse cystic renal dysplasia
partially|partially duplicated displaced kidney
labial|labial pseudohypertrophy
longitudinal|longitudinal vaginal septum
vertical|vertical vaginal septum
prominent|prominent prostate median bar
coronal|coronal hypospadias
abnormality|abnormality of the aryepiglottic fold
abnormal|abnormal aryepiglottic folds
cartilaginous|cartilaginous ossification of larynx
laryngeal|laryngeal hypoplasia
hypoplastic|hypoplastic larynx
laryngeal|laryngeal atresia
laryngeal|laryngeal cleft
laryngeal|laryngeal cartilage malformations
aplasia|aplasia of the epiglottis
laryngeal|laryngeal calcifications
laryngeal|laryngeal calcification
laryngotracheomalacia|laryngotracheomalacia
bowing|bowing of the vocal cords
unilateral|unilateral vocal cord paralysis
unilateral|unilateral paralysis of the vocal cord
violent|violent behavior
repetitive|repetitive compulsive behavior
no|no social interaction
auditory|auditory hallucinations
self-mutilation|self-mutilation of tongue and lips due to involuntary movements
inappropriate|inappropriate sexual behavior
dull|dull facial expression
obsessive-compulsive|obsessive-compulsive trait
obsessive-compulsive|obsessive-compulsive traits
aplasia/hypoplasia|aplasia/hypoplasia of the ear
aplasia/hypoplasia|aplasia/hypoplasia of the external ear
aplasia/hypoplasia|aplasia/hypoplasia of the middle ear
hypoplastic/aplastic|hypoplastic/aplastic middle ear structures
middle|middle ear hypoplasia/aplasia
aplasia/hypoplasia|aplasia/hypoplasia of the inner ear
abnormality|abnormality of the prostate
abnormality|abnormality of the renal artery
abnormality|abnormality of the vocal cords
hypoplastic|hypoplastic femoral neck
congenital|congenital bilateral hip dislocation
wide,|wide, deformed femoral neck
wide|wide proximal femoral metaphysis
wide|wide capital femoral epiphyses
delayed|delayed ossification of pubic rami
iliac|iliac crest serration
irregular|irregular lacy iliac crest
lacy|lacy appearance of iliac crest
delayed|delayed pubic bone ossification
absent|absent pubic ossification in infancy
cone-shaped|cone-shaped capital femoral epiphysis
widened|widened proximal femoral metaphyses
dysplastic|dysplastic iliac wings
externally|externally rotated hips
early|early ossification of capital femoral epiphyses
widened,|widened, small sacrosciatic notches
limited|limited hip movement
hypoplasia|hypoplasia of the lesser trochanter
lesser|lesser trochanter hypoplasia
hypoplasia|hypoplasia of the femoral head
hypoplastic|hypoplastic femoral head
small|small femoral heads
narrow|narrow sacroiliac notch
broad|broad femoral head
acetabular|acetabular dysplasia
dysplastic|dysplastic acetabulae
high|high iliac wings
narrow,|narrow, high iliac wings
flattened|flattened femoral head
narrow|narrow sacroiliac notches in infancy
aplastic|aplastic pubic bones
large,|large, flared iliac wings
narrow|narrow femoral neck
absent|absent ossification of capital femoral epiphysis
absent|absent ossification of femoral capital epiphyses
hypoplastic|hypoplastic inferior ilia
hypoplastic|hypoplastic ischiopubic rami
hypoplastic|hypoplastic inferior pubic rami
hypoplastic|hypoplastic iliac body
small|small iliac bodies
dislocation|dislocation of the femoral head
dislocated|dislocated femoral heads
delayed|delayed proximal femoral epiphyseal ossification
delayed|delayed ossification of the proximal femoral epiphysis
delayed|delayed ossification proximal femoral epiphyses
delayed|delayed femoral head ossification
hypoplastic|hypoplastic pubic rami
irregular|irregular acetabular roof
multicentric|multicentric femoral head ossification
stippled|stippled calcification proximal humeral epiphyses
hypoplastic|hypoplastic pelvis
hypoplastic|hypoplastic pelvic bones
small|small pelvis
hip|hip osteoarthritis
osteoarthritis|osteoarthritis of hip
mesomelic|mesomelic short stature
dwarfism,|dwarfism, short limb mesomelic
mesomelic|mesomelic dwarfism
short|short stature, disproportionate mesomelic
short|short stature, mesomelic
severe|severe intrauterine growth retardation
intrauterine|intrauterine growth retardation, severe
severe|severe prenatal growth deficiency
moderately|moderately short stature
moderate|moderate short stature
severe|severe postnatal growth retardation
marked|marked growth retardation
severe|severe postnatal growth deficiency
severe|severe postnatal growth failure
moderate|moderate postnatal growth retardation
neonatal|neonatal short-trunk short stature
short-trunk|short-trunk dwarfism identifiable at birth
failure|failure to thrive secondary to recurrent infections
feeding|feeding difficulties in infancy
disproportionate|disproportionate short-limb short stature
brachymelic|brachymelic dwarfism
disproportionate|disproportionate short limb dwarfism
dwarfism,|dwarfism, short-limbed
micromelic|micromelic dwarfism
short|short limb dwarfism, disproportionate
short|short stature, disproportionate short limb
short|short stature, disproportionate short-limb
short-limb|short-limb dwarfism
short-limbed|short-limbed dwarfism
mild|mild intrauterine growth retardation
mild|mild prenatal growth deficiency
adipose|adipose tissue loss
severe|severe short-limb dwarfism
postnatal|postnatal growth retardation
growth|growth retardation as children
postnatal|postnatal growth deceleration
postnatal|postnatal growth deficiency
postnatal|postnatal growth failure
rhizomelic|rhizomelic short stature
rhizomelia|rhizomelia
rhizomelic|rhizomelic dwarfism
rhizomelic|rhizomelic limb shortening
rhizomelic|rhizomelic short limbs
short|short stature, rhizomelic
symmetrical|symmetrical rhizomelic limb shortening
lethal|lethal short-limbed short stature
lethal|lethal micromelic dwarfism
lethal|lethal short-limbed dwarfism
childhood-onset|childhood-onset truncal obesity
truncal|truncal obesity apparent in childhood
neonatal|neonatal short-limb short stature
dwarfism,|dwarfism, neonatal short-limbed
neonatal|neonatal short-limbed dwarfism
short|short limb dwarfism recognizable at birth
short-limb|short-limb dwarfism identifiable at birth
short-limb|short-limb dwarfism identifiable neonatally
short-limbed|short-limbed dwarfism identifiable at birth
childhood-onset|childhood-onset short-trunk short stature
disproportionate|disproportionate short stature (short trunk), identifiable in childhood
short-trunk|short-trunk dwarfism identifiable during childhood
asymmetric|asymmetric short stature
generalized|generalized neonatal hypotonia
hypotonia,|hypotonia, neonatal, generalized
muscular|muscular hypotonia of the trunk
axial|axial hypotonia
truncal|truncal hypotonia
generalized|generalized lymphadenopathy
acute|acute rhabdomyolysis
rhabdomyolysis,|rhabdomyolysis, acute
distal|distal lower limb amyotrophy
lower|lower leg amyotrophy
muscle|muscle atrophy, lower limb, distal
loss|loss of ability to walk in early childhood
pelvic|pelvic girdle amyotrophy
hip|hip girdle amyotrophy
infantile|infantile muscular hypotonia
hypotonia|hypotonia (infancy)
hypotonia|hypotonia early
hypotonia|hypotonia in infancy
hypotonia,|hypotonia, early
proximal|proximal upper limb amyotrophy
proximal|proximal muscle atrophy in upper limbs
proximal|proximal upper limb muscle atrophy
shoulder|shoulder muscle hypoplasia
pectoralis|pectoralis major hypoplasia
pectoralis|pectoralis major muscle hypoplasia
intrinsic|intrinsic hand muscle atrophy
progressive|progressive distal muscular atrophy
proximal|proximal lower limb amyotrophy
amyotrophy|amyotrophy involving the thigh
amyotrophy|amyotrophy of the thigh musculature
proximal|proximal lower limb muscle atrophy
thigh|thigh muscle atrophy
distal|distal upper limb muscle weakness
calf|calf muscle hypoplasia
hypoplastic|hypoplastic calf muscles
tibialis|tibialis muscle weakness
nonprogressive|nonprogressive muscular atrophy
exercise-induced|exercise-induced muscle stiffness
muscle|muscle stiffness with exercise
muscle|muscle stiffness, exercise-induced
muscle|muscle hypertrophy of the lower extremities
leg|leg muscle stiffness
scapulohumeral|scapulohumeral muscular dystrophy
decreased|decreased activity of mitochondrial respiratory chain
necrotizing|necrotizing myopathy
calf|calf muscle hypertrophy
calf|calf hypertrophy
muscular|muscular hypertrophy of the calf muscles
neck|neck muscle hypoplasia
increased|increased intramuscular fat
agenesis|agenesis of the diaphragm
pelvic|pelvic girdle muscle atrophy
pelvic|pelvic girdle muscle wasting
exercise-induced|exercise-induced leg cramps
increased|increased intraabdominal fat
proximal|proximal muscle weakness in lower limbs
muscle|muscle weakness, proximal, lower limbs
proximal|proximal muscle weakness in upper limbs
pectoralis|pectoralis hypoplasia
loss|loss of truncal subcutaneous adipose tissue
loss|loss of subcutaneous truncal adipose tissue
loss|loss of truncal adipose tissue
increased|increased subcutaneous truncal adipose tissue
hypoplasia|hypoplasia of the musculature
muscle|muscle hypoplasia
poorly|poorly developed skeletal musculature
weakness|weakness of the intrinsic hand muscles
hypoplastic|hypoplastic biceps
hypoplasia|hypoplasia of serratus anterior muscle
congenital|congenital absence of gluteal muscles
upper|upper limb muscle hypoplasia
loss|loss of gluteal subcutaneous adipose tissue
progressive|progressive loss of facial adipose tissue
loss|loss of subcutaneous adipose tissue from face, progressive
exercise-induced|exercise-induced muscle fatigue
abdominal|abdominal wall muscle weakness
lax|lax abdominal musculature
increased|increased connective tissue
hypoplasia|hypoplasia of latissimus dorsi muscle
foot|foot dorsiflexor weakness
foot|foot drop
foot|foot extensor weakness
footdrop|footdrop
generalized|generalized weakness of limb muscles
amyotrophy|amyotrophy of ankle musculature
segmental|segmental spinal muscular atrophy
marked|marked muscular hypertrophy
hypoplasia|hypoplasia of deltoid muscle
deltoid|deltoid muscle hypoplasia
exercise-induced|exercise-induced rhabdomyolysis
rhabdomyolysis|rhabdomyolysis with exercise
difficulty|difficulty running
peroneal|peroneal muscle atrophy
peroneal|peroneal atrophy
quadriceps|quadriceps muscle atrophy
increased|increased muscle glycogen content
distal|distal lower limb muscle weakness
distal|distal muscle weakness in lower limbs
muscle|muscle weakness, lower limb, distal 
scapuloperoneal|scapuloperoneal myopathy
generalized|generalized limb muscle atrophy
generalized|generalized muscle atrophy, proximal and distal
loss|loss of subcutaneous adipose tissue from upper limbs
increased|increased muscle lipid content
fat|fat accumulation in muscle fibers
fat|fat deposits in muscle fibers
lipid|lipid accumulation in skeletal muscle
muscle|muscle lipidosis
skeletal|skeletal muscle lipid accumulation
congenital|congenital generalized lipodystrophy
scapular|scapular muscle atrophy
infantile|infantile axial hypotonia
hypotonia,|hypotonia, axial, in infancy
progressive|progressive distal muscle weakness
muscle|muscle weakness, distal, progressive
muscle|muscle weakness, progressive, distal
generalized|generalized lipodystrophy
lipodystrophy,|lipodystrophy, generalized
progressive|progressive spinal muscular atrophy
lethal|lethal infantile mitochondrial myopathy
inflammatory|inflammatory myopathy
decreased|decreased achilles reflex
hyporeflexia|hyporeflexia at ankle joints
progressive|progressive proximal muscle weakness
